apartment_,latitude,longitude,place_id,zipcode,website,property_a,map_url,phone,Market_Time,School_Time
Stoneleigh at Deerfield Apartments,34.101888,-84.249069,ChIJxYHazXSe9YgR2kuCeV_y9NE,0,http://www.thestoneleighatdeerfieldapartments.com/,"1800 Deerfield Point, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=15128983540118735834,(770) 569-2474,1 hour 22 mins,39 mins
Gramercy Park | John Wieland Homes,34.084754,-84.32263,ChIJYcl2oEh09YgRMKVm6G6TRsA,30004,http://www.jwhomes.com/,"Gramercy Ln, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=13854923408206636336,(770) 619-4325,56 mins,35 mins
Village of Devinshire Condominiums,34.100007,-84.264817,ChIJyUc3fgOe9YgRrt5ZRQZZHbs,30004, ,"13100 Deerfield Pkwy, Milton, GA 30004, USA",https://maps.google.com/?cid=13483030742885326510,(770) 777-0505,1 hour 7 mins,19 mins
Cypress Point Apartment Homes,34.072657,-84.255824,ChIJ02Ft5jCe9YgRJ5fE48NS7Oo,30005,http://www.apartmentalpharettaga.com/,"3500 North Point Pkwy, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=16927996100672263975,(770) 783-3462,51 mins,9 mins
Waterstone At Big Creek Apartment Homes,34.108854,-84.226969,ChIJ1dczIqN19YgRN9ExB_Acbro,30005,http://www.waterstoneatbigcreek.com/,"50 Estuary Trail, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=13433706555731202359,(855) 373-7992,56 mins,1 hour 11 mins
Belmont At Park Bridge,34.062995,-84.244059,ChIJ624uq0ye9YgRygLOfX1hA5M,30005,http://www.belmont-apts.com/,"150 Rockberry Ln, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=10593417940114997962,(770) 664-6502,5 mins,14 mins
Walton Bluegrass & The Legacy at Walton Bluegrass,34.107714,-84.216957,ChIJAexdECac9YgRBjcRbxHjtIA,30005,http://www.waltoncommunities.com/alpharetta-apartments/walton-bluegrass,"1625 Oak Farm Dr, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=9274287196680042246,(770) 740-2669,56 mins,1 hour 11 mins
The Venue Big Creek Apartments,34.110636,-84.227436,ChIJERvQNiuc9YgRXw-LfVK4AVM,30005,https://www.thevenuebigcreek.com/,"50 Venue Way, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=5981264444557823839,(678) 339-0100,56 mins,1 hour 11 mins
Alpharetta Corporate Apartments,34.104342,-84.265651,ChIJG_RqRwGe9YgRZNK7u15DvM0,30005,http://www.arcorporate.com/,"13000 Summit Blvd, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=14824798147552465508,(770) 614-2121,1 hour 7 mins,19 mins
Alara Park Bridge,34.060109,-84.235174,ChIJI1VThayf9YgREuaUiC5rqV8,30005,http://www.alaraparkbridgeapts.com/,"15000 Parkview Ln, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=6893158552271382034,(770) 346-9600,5 mins,14 mins
Wood Bridge Apartments,34.065184,-84.239718,ChIJJQhWkU2e9YgRtqAUpuwEuTg,30005,http://www.woodbridgeaptsga.com/,"680 Park Bridge Pkwy, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=4087303551260598454,(770) 663-7787,5 mins,14 mins
Collingwood Apartments,34.04931,-84.261791,ChIJl9FLeNuf9YgRSeJsO4m_94o,30005,http://www.collingwoodram.com/,"3400 Kimball Bridge Rd, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=10013682892610003529,(770) 667-3211,1 hour 3 mins,12 mins
Addison Place,34.063367,-84.20881,ChIJlRLzA-Ge9YgROEVJS7PLTKw,30005,http://www.addisonapts.com/,"5100 Abbotts Bridge Rd, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=12415522243676292408,(678) 393-2722,29 mins,14 mins
Windward Place Apartments,34.090272,-84.23777,ChIJn_u0sGWe9YgRM_CJq8G0Zf0,30005,http://www.windwardplaceapartments.com/,"3080 Market Pl, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=18259199008143175731,(770) 751-0202,1 hour 4 mins,31 mins
The Pointe at Preston Ridge,34.069107,-84.256565,ChIJP3rG1TOe9YgRXYbPy_mXHGs,30005,http://www.thepointeatprestonridge.com/,"950 Executive Dr, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=7718210960528213597,(855) 653-4309,51 mins,9 mins
Nurock Managements Co,34.072713,-84.260299,ChIJR1f1zC-e9YgR7XFU_WKzr1E,30005,http://www.nurock.com/,"3460 Preston Ridge Rd, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=5886120475734864365,(678) 297-3400,51 mins,9 mins
The Ascent at Windward,34.095567,-84.232877,ChIJv3TJgmSe9YgRvVViSuknj1k,30005,http://www.ascentwindward.com/,"18000 Masters Way, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=6453420673974031805,(770) 752-4733,1 hour 18 mins,1 hour 6 mins
Parc Alpharetta Apartments,34.05056,-84.302784,ChIJ8c2PDBp19YgRdPy71TKzZ_A,30009,http://www.parcalpharetta.com/,"1000 Fanfare Way, Alpharetta, GA 30009, USA",https://maps.google.com/?cid=17323011522619505780,(866) 452-6020,1 hour 0 mins,38 mins
Grande Oaks Apartments,34.038452,-84.335968,ChIJBWjd_rh09YgRxEnrNghGEMk,30009,http://www.bellapartmentliving.com/GA/Atlanta/Grande-Oaks,"100 Legacy Oaks Cir, Roswell, GA 30076, USA",https://maps.google.com/?cid=14488157002345957828,(770) 587-1008,34 mins,14 mins
Haven at Avalon,34.071565,-84.27873,ChIJC6O7koR19YgRiemIX9HRIUg,30009,http://www.havenatavalon.com/,"1213 Avalon Blvd, Alpharetta, GA 30009, USA",https://maps.google.com/?cid=5197666142143441289,(770) 285-8585,24 mins,12 mins
Manchester At Mansell Apartments,34.039754,-84.325905,ChIJdxVeq-md9YgRIWAFmhbb420,30009,http://www.manchesteratmansell.com/,"401 Huntington Dr, Roswell, GA 30076, USA",https://maps.google.com/?cid=7918413459967270945,(770) 587-5545,47 mins,25 mins
Aspen Pointe Apartments,34.030523,-84.320422,ChIJfbs8cNJ09YgRD7itvBWvRO4,30009,http://www.jamcoproperties.com/property/26/Aspen-Pointe-Apartments,"1300 Gran Crique Dr, Roswell, GA 30076, USA",https://maps.google.com/?cid=17169040187337848847,(888) 653-9489,33 mins,36 mins
Equity Residential,34.054129,-84.325337,ChIJH_Guou109YgRyFBvowRi5mc,30009,http://www.equityapartments.com/,"11251 Alpharetta Hwy, Roswell, GA 30076, USA",https://maps.google.com/?cid=7486779202611400904,(770) 442-3130,21 mins,26 mins
AMLI at Milton Park,34.049802,-84.2799,ChIJJSJfzGV19YgRrg7WKSIJDCQ,30009,http://www.amli.com/apartments/atlanta/North-Atlanta/Alpharetta/milton-park,"26000 Mill Creek Ave, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=2597461127421365934,(678) 436-3840,46 mins,24 mins
Saddle Creek Apartments,34.080957,-84.318386,ChIJl3NnY0509YgRgLyC9kYBcbg,30009, ,"1465 Mid Broadwell Rd # 5000, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=13290405379642145920,(770) 663-0054,30 mins,31 mins
Belcourt Apartments,34.028723,-84.313852,ChIJleYUZtV09YgRUWpcNn08mbM,30009,http://www.belcourtapts.com/,"2200 Belcourt Pkwy, Roswell, GA 30076, USA",https://maps.google.com/?cid=12941441512706435665,(866) 468-8552,33 mins,36 mins
Roswell Creek Apartments,34.026578,-84.33304,ChIJLW0X3sl09YgRkgcpZGE0KzE,30009,http://www.myroswellcreek.com/,"1000 Holcomb Bridge Rd, Roswell, GA 30076, USA",https://maps.google.com/?cid=3542983124753909650,(770) 992-8000,34 mins,14 mins
The Crossings at Holcomb Bridge Apartments,34.026288,-84.328897,ChIJM0mLkst09YgREGddryPgnN0,30009,http://www.thecrossingsatholcombbridge.com/,"100 Creekside Way, Roswell, GA 30076, USA",https://maps.google.com/?cid=15968884822619547408,(855) 332-6890,34 mins,14 mins
Rosemont Apartments,34.058265,-84.326749,ChIJM6SapPF09YgR2rpKILS8re0,30009,http://rosemontapthomes.com/,"1900 Rosemont Pkwy, Roswell, GA 30076, USA",https://maps.google.com/?cid=17126552439781767898,(855) 646-0471,21 mins,26 mins
Oaks at Holcomb Bridge,34.026495,-84.325438,ChIJMTHLfct09YgRfn6DcfSHP70,30009,http://www.oaksatholcombbridgeapts.com/,"700 Old Holcomb Bridge Rd, Roswell, GA 30076, USA",https://maps.google.com/?cid=13636767680647364222,(770) 284-1223,33 mins,36 mins
Riverwood Apartments,34.023678,-84.333241,ChIJn-riP8109YgRxWtKzrpmvDE,30009,http://www.riverwood-apts.com/,"1045 Holcomb Bridge Rd, Roswell, GA 30076, USA",https://maps.google.com/?cid=3583852355991006149,(770) 998-1870,30 mins,11 mins
ALARA North Point Apartments,34.044536,-84.285738,ChIJozDXFmp19YgRLWYW9HVVxPU,30009,http://www.alaranorthpoint.com/,"900 Jameson Pass, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=17709373599822276141,(770) 772-3031,46 mins,24 mins
Wood Creek at Roswell,34.025506,-84.326921,ChIJq-enVcp09YgRkwiM3M36MDQ,30009,http://www.gscapts.com/apartments/roswell_ga/zip_30076/gsc/4525/,"600 Old Holcomb Bridge Rd, Roswell, GA 30076, USA",https://maps.google.com/?cid=3760781450929768595,(888) 913-5956,33 mins,36 mins
Webb Bridge Crossing,34.075126,-84.278533,ChIJqy3ke4V19YgRJsLbTVG6xfE,30009,http://www.webbbridgecrossingapts.com/,"5000 Webb Bridge Ct, Alpharetta, GA 30009, USA",https://maps.google.com/?cid=17421535591913996838,(855) 814-7534,24 mins,12 mins
AMLI North Point,34.036344,-84.309469,ChIJu8rplSZ19YgRp_yii3fhMJo,30009,http://www.amli.com/apartments/atlanta/North-Atlanta/Alpharetta/north-point,"9000 Beaver Creek Rd, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=11110628184283085991,(678) 971-2316,38 mins,15 mins
The Lex- Alpharetta,34.078576,-84.315252,ChIJuS4zmk109YgR3kB_eZ-ym2c,30009,http://www.thelexapts.com/,"1000 Lexington Farm Dr, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=7465757205304656094,(678) 554-4578,30 mins,31 mins
Gables Residential,34.02005,-84.331501,ChIJYZAGCDUL9YgRejrgxEBW_SA,30009,http://gables.com/,"100 Hemingway Ln, Roswell, GA 30075, USA",https://maps.google.com/?cid=2377151014502414970,(770) 640-1686,30 mins,11 mins
Roswell Village Apartments,34.02005,-84.331501,ChIJYZAGCDUL9YgRJ2IyA4Yh8OA,30009,http://www.liveatroswellvillage.com/,"100 Hemingway Ln, Roswell, GA 30075, USA",https://maps.google.com/?cid=16208491918369382951,(770) 518-8300,30 mins,11 mins
AMLI at Northwinds,34.063359,-84.285294,ChIJzWCCU5519YgR2cPQTK56te0,30009,http://www.amli.com/apartments/atlanta/North-Atlanta/Alpharetta/northwinds,"32000 Gardner Dr, Alpharetta, GA 30009, USA",https://maps.google.com/?cid=17128731646805197785,(888) 479-2936,24 mins,29 mins
Navarro Apartments,33.79623,-84.243753,ChIJ245QrLSp9YgR4weyIAYOZ64,30021,http://www.navarroapts.com/,"3525 Indian Creek Way, Clarkston, GA 30021, USA",https://maps.google.com/?cid=12567028704681789411,(404) 296-4808,13 mins,1 min
Springdale Glen Apartments,33.822374,-84.232413,ChIJ5-AHvGCo9YgRV8ObJqm_e60,30021,http://www.springdaleglen.com/,"3800 Brockett Trail, Clarkston, GA 30021, USA",https://maps.google.com/?cid=12500795923915064151,(678) 554-4577,12 mins,17 mins
English Oaks,33.815314,-84.234652,ChIJafeYIVyo9YgRozwmlML3ZE4,30021,http://rjamesproperties.com/properties/english-oaks/,"4133 Church St, Clarkston, GA 30021, USA",https://maps.google.com/?cid=5648912247710694563,(404) 299-2234,12 mins,17 mins
Avalon on Montreal- Clarkston,33.81525,-84.245419,ChIJCRcfHkGo9YgRjUQ7FrXZiY8,30021,http://www.avalononmontreal.com/,"1086 Montreal Rd, Clarkston, GA 30021, USA",https://maps.google.com/?cid=10343037391018345613,(404) 296-8516,17 mins,26 mins
1500 Oak Apartments,33.822298,-84.231156,ChIJcTTgrGOo9YgR31qyG8hBk7M,30021,http://www.1500oak.com/,"1500 Post Oak Dr, Clarkston, GA 30021, USA",https://maps.google.com/?cid=12939758482079505119,(678) 554-4542,12 mins,17 mins
Silver Oak Apartments,33.820386,-84.230769,ChIJFekbDIqo9YgRvu8uChNGn-A,30021,http://www.silveroakgeorgia.com/,"1281 Brockett Rd, Clarkston, GA 30021, USA",https://maps.google.com/?cid=16185732633382023102,(770) 284-3148,12 mins,17 mins
The Lakes at Indian Creek,33.798468,-84.233315,ChIJG3D-QVOo9YgRJcXHXTfFmMc,30021,http://www.rentcafe.com/apartments/ga/clarkston/lakes-at-indian-creek-apartments/index.aspx,"751 N Indian Creek Dr, Clarkston, GA 30021, USA",https://maps.google.com/?cid=14382462251594925349,(404) 296-6442,13 mins,1 min
Kristopher Woods Apartments,33.799634,-84.242548,ChIJGbRm-Eyo9YgRyQcdKJa5f4A,30021, ,"792 Jolly Ave S, Clarkston, GA 30021, USA",https://maps.google.com/?cid=9259323413466253257,(404) 296-2371,13 mins,1 min
Clarkston Oaks Apartments,33.798707,-84.247186,ChIJh0vgdEuo9YgR7BFDw5-drwY,30021,http://rjamesproperties.com/properties/clarkston-oaks/,"767 Northern Ave, Clarkston, GA 30021, USA",https://maps.google.com/?cid=481776994653245932,(404) 294-1488,20 mins,12 mins
Woodside Village Apartments,33.798073,-84.230504,ChIJk3pfBFWo9YgR8CjpnqL0Jns,30021,http://www.woodsidevillage-apts.com/,"3954 Memorial College Ave, Clarkston, GA 30021, USA",https://maps.google.com/?cid=8874049095068100848,(404) 292-8596,13 mins,1 min
Indian Valley,33.796823,-84.244409,ChIJK5uMUkuo9YgRIGWro3TJh78,30021,http://adaraliving.com/,"3536 Indian Creek Way, Clarkston, GA 30021, USA",https://maps.google.com/?cid=13801221085899482400,(404) 296-9330,20 mins,12 mins
Reserve At Twin Oaks,33.815221,-84.248254,ChIJLZv5mkCo9YgRY7EvmFPoS8I,30021,http://www.reserveattwinoaksapts.com/,"1108 Montreal Rd E, Clarkston, GA 30021, USA",https://maps.google.com/?cid=14000539312344510819,(404) 436-2550,17 mins,26 mins
Clarkston Station Apartments,33.815126,-84.242679,ChIJn48fS0Ko9YgRHy01615SIbI,30021,http://www.clarkstonstationapts.com/,"3629 Montreal Creek Cir, Clarkston, GA 30021, USA",https://maps.google.com/?cid=12835630980609158431,(404) 508-3118,12 mins,17 mins
Highland Village Apartments,33.80441,-84.249197,ChIJQWHiKjao9YgR5xBigaQlE0c,30021, ,"3890 E Ponce de Leon Ave, Clarkston, GA 30021, USA",https://maps.google.com/?cid=5121478589725937895,(404) 448-1906,26 mins,25 mins
Birch Run Estates,33.819172,-84.237869,ChIJQwol72eo9YgRtFX2_nxi7Ho,30021,http://www.birchrunapts.com/,"1204 Brockett Rd, Clarkston, GA 30021, USA",https://maps.google.com/?cid=8857562856123946420,(404) 299-3565,12 mins,17 mins
Tuscany Village Apartments,33.79343,-84.246929,ChIJrRraVLSp9YgRHbgd9w9AcnE,30021,http://www.tuscanyvillageapartments.net/,"600 Northern Ave, Clarkston, GA 30021, USA",https://maps.google.com/?cid=8174666710945478685,(404) 585-4424,20 mins,12 mins
Sage Pointe Apartments,33.820166,-84.227254,ChIJRZ6AvIqo9YgRRuaMWUxbeuc,30021, ,"4650 E Ponce de Leon Ave, Clarkston, GA 30021, USA",https://maps.google.com/?cid=16679744553398101574,(770) 558-6140,20 mins,14 mins
Wildcreek Apartments,33.818402,-84.237639,ChIJT6uHsEKo9YgRGBAibzsZ8RA,30021,http://www.wildcreekapartmenthomes.com/,"100 Wild Cir, Clarkston, GA 30021, USA",https://maps.google.com/?cid=1220784717052383256,(404) 857-2288,12 mins,17 mins
Carriage Oaks Apartments,33.815248,-84.236243,ChIJYf0f_1yo9YgRNLYDnxPNTzg,30021,http://www.nelkinrealestate.com/carriageoaks1-2.php,"4366 E Ponce de Leon Ave, Clarkston, GA 30021, USA",https://maps.google.com/?cid=4057687273439999540,(404) 508-9433,12 mins,17 mins
Clarkston Townhomes,33.810086,-84.245118,ChIJYy3nY0ao9YgRVUwmYft5JdM,30021,http://rjamesproperties.com/properties/clarkston-townhomes/,"3519 W Hill St, Clarkston, GA 30021, USA",https://maps.google.com/?cid=15214701036714740821,(404) 296-4125,26 mins,25 mins
St Andrews Apartments,34.027611,-84.250439,ChIJ6ZTOM42f9YgRsb1LLugBOdI,30022,http://www.standrewsapartmenthomes.com/,"10055 Jones Bridge Rd, Johns Creek, GA 30022, USA",https://maps.google.com/?cid=15148140918358130097,(770) 663-7566,45 mins,35 mins
Nesbit Palisades,33.986239,-84.271561,ChIJ9wg-Lp0K9YgR3UjyvXkv2Zc,30022,http://www.liveatnesbitpalisades.com/,"8520 S Holcomb Bridge Way, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=10941828969597651165,(855) 349-3580,1 hour 20 mins,33 mins
Champions Green Apartments,34.001014,-84.280404,ChIJaSd81aIK9YgRUPKCIA3c-Z4,30022,http://venterraliving.com/championsgreen/rent_pricing_availability?id=CHGGGM006,"1001 Champions Green Pkwy, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=11455429076131705424,(678) 534-7168,54 mins,16 mins
Seven Pines Apartments & Townhomes,33.992951,-84.277293,ChIJDQvdMZoK9YgRJR2_0n-ndPo,30022,http://www.sevenpinesapts.com/,"2845 Holcomb Bridge Rd, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=18047233774218845477,(770) 992-4978,1 hour 20 mins,33 mins
Holcomb's Pond Apartments,33.993997,-84.280531,ChIJl5kh4JkK9YgRIJqvMzE8tdA,30022,http://www.holcombspondapartments.com/,"2745 Holcomb Bridge Rd, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=15038992712691849760,(770) 574-6850,1 hour 15 mins,38 mins
Ashley Forest Apartments,34.004415,-84.278574,ChIJM-NpkKQK9YgRitxPRigE7J8,30022,http://www.ashleyforestapts.com/,"9230 Nesbit Ferry Rd, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=11523590117559098506,(770) 642-4897,54 mins,16 mins
Nesbit Ferry Crossing Apartments,34.001882,-84.278152,ChIJq4rR_aIK9YgR7ZOonDyX1fE,30022,http://www.bellapartmentliving.com/ga/alpharetta/nesbit-ferry-crossing/,"100 Saratoga Dr, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=17426000619762127853,(678) 585-0094,54 mins,16 mins
North Haven at Johns Creek,34.051241,-84.226058,ChIJF3h_2Aef9YgRjdBZ-3VdMRI,30023,http://www.northhavenatjohnscreek.com/,"11201 State Bridge Rd, Johns Creek, GA 30022, USA",https://maps.google.com/?cid=1310931727851049101,(678) 366-9865,34 mins,25 mins
Duck Pond at Johns Creek,34.043264,-84.221513,ChIJfcG7ewyf9YgRWLlGv8dgGhQ,30023,http://www.duckpondatjohnscreek.com/,"10840 State Bridge Rd, Johns Creek, GA 30022, USA",https://maps.google.com/?cid=1448576641176877400,(770) 619-9099,34 mins,25 mins
ARIUM Johns Creek Apartments,34.017375,-84.195845,ChIJj8l0hVef9YgRFtYLUehRjls,30023,http://ariumjohnscreek.com/luxury-apartments/johns-creek/ga,"9700 Medlock Crossing Pkwy, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=6597300562378348054,(770) 824-3063,1 hour 26 mins,32 mins
The Reserve at John's Creek Walk,34.050405,-84.177788,ChIJsU6yStCY9YgRglIiWB7wqFI,30023,http://reserveatjohnscreek.com/,"11055 Bell Rd, Duluth, GA 30097, USA",https://maps.google.com/?cid=5956274520315810434,(678) 475-3550,1 hour 8 mins,27 mins
Avery Glen Apartments,33.770799,-84.290784,ChIJ90P-WT8H9YgRsybiTyvFDbE,30030,http://www.rampartnersllc.com/,"339 E College Ave, Decatur, GA 30030, USA",https://maps.google.com/?cid=12758070109224969907,(404) 687-8100,30 mins,8 mins
Allen Wilson Apartments,33.772362,-84.299004,ChIJaSVEYDwH9YgRDTCZj0SY0Es,30030, ,"1450 Commerce Dr, Decatur, GA 30030, USA",https://maps.google.com/?cid=5463033768234790925,(404) 687-8358,25 mins,7 mins
Atlantic Star Ice House Lofts,33.773136,-84.288837,ChIJaz-L8EAH9YgRKa93kzN4DEA,30030,http://bradenfellman.com/apartments/icehouse/,"105 Sycamore Pl, Decatur, GA 30030, USA",https://maps.google.com/?cid=4615195881060675369,(404) 377-5251,28 mins,14 mins
Avondale Station Apartments,33.774829,-84.275467,ChIJbYcgZl4H9YgRp1yW-gPbt88,30030,http://www.avondalestationapts.com/,"703 Twin Oaks Dr, Decatur, GA 30030, USA",https://maps.google.com/?cid=14967672696724675751,(404) 373-1643,10 mins,10 mins
Spring Pointe Apartments,33.757053,-84.305607,ChIJC7SajiwH9YgR28YZid8i96U,30030,http://www.springpointeapartments.org/,"1301 Oakview Rd, Decatur, GA 30030, USA",https://maps.google.com/?cid=11959065678978860763,(404) 687-9385,44 mins,10 mins
Derrydown Quads & Houses,33.771882,-84.280462,ChIJex7Z0lwH9YgRIOb4yKt-6mg,30030,http://rjamesproperties.com/properties/derrydown-quads-houses/,"784 Derrydown Way, Decatur, GA 30030, USA",https://maps.google.com/?cid=7559994200771061280,(404) 377-7087,30 mins,8 mins
North Decatur Garden Apartments,33.788422,-84.289249,ChIJG8CqkHIH9YgRQVNiKQP_6Bg,30030,http://www.northdecaturgardens.com/,"1400 Church St, Decatur, GA 30030, USA",https://maps.google.com/?cid=1794964840551437121,(404) 377-7353,11 mins,21 mins
Alexan 1133 Apartments,33.777423,-84.298077,ChIJIckZFRYH9YgRag7I20JEdB4,30030,http://alexan1133.com/,"1133 Commerce Dr, Decatur, GA 30030, USA",https://maps.google.com/?cid=2194453972382125674,(404) 371-6999,12 mins,10 mins
Philips Tower,33.772746,-84.294328,ChIJKWUK5T4H9YgRT4lBNtHWsmI,30030,http://www.philipstower.org/,"218 E Trinity Pl # A, Decatur, GA 30030, USA",https://maps.google.com/?cid=7111982955618208079,(404) 373-4361,25 mins,7 mins
Amberidge Apartments,33.786709,-84.300568,ChIJL3ZaEhAH9YgRDqzD_R30RcU,30030,http://www.amberidge.info/,"1031 Scott Blvd, Decatur, GA 30030, USA",https://maps.google.com/?cid=14215036208513526798,(404) 797-3815,12 mins,10 mins
Adair Oaks Apartments,33.769708,-84.307315,ChIJM7MKJiQH9YgRJsNBMBAdXJ4,30030,http://www.visionpropertiesinc.com/apartments.htm#AdairAnchor,"212 Adair St A3, Decatur, GA 30030, USA",https://maps.google.com/?cid=11411027511216292646,(404) 373-4368,25 mins,7 mins
Jackson Square Apartments,33.789869,-84.275128,ChIJPyqrZHwH9YgRMXW7VWl0aL0,30030,http://www.liveatjacksonsquare.com/,"455 Dekalb Industrial Way, Decatur, GA 30030, USA",https://maps.google.com/?cid=13648286666505024817,(404) 294-0400,15 mins,1 min
Park Trace Apartments,33.77177,-84.30261,ChIJqcnaWiMH9YgRF8KU9N5rTsM,30030, ,"700 Atlanta Ave, Decatur, GA 30030, USA",https://maps.google.com/?cid=14073304490909680151,(404) 371-0887,25 mins,7 mins
The Place on Ponce Apartments,33.776073,-84.300055,ChIJU7sSQT0H9YgRX1ZdbHHEr2o,30030,http://www.theplaceonponce.com/,"220 Ponce De Leon Pl, Decatur, GA 30030, USA",https://maps.google.com/?cid=7687579080373130847,(404) 496-6075,12 mins,10 mins
