latitude,longitude,school_id,school_name,Grades,school_type,city,address,phone,fax,website,overview_url,ratings_url,reviews_url,freeandreducedLunch
33.75201,-84.23332,6917,Dekalb Preparatory Academy Charter,Other,charter,Decatur,"1402 Austin Dr, Decatur, GA  30032",(404) 492-5061,,,http://www.greatschools.org/georgia/decatur/6917-Dekalb-Preparatory-Academy-Charter/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=6917&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=6917&s_cid=gsapi,
33.69169,-84.27612,6718,Dekalb Regional Youth Detention Center,Other,public,Decatur,"2946 Clifton Springs Rd, Decatur, GA  30034",(404) 244-2183,,,http://www.greatschools.org/georgia/decatur/6718-Dekalb-Regional-Youth-Detention-Center/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=6718&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=6718&s_cid=gsapi,
33.76055,-84.26829,6486,Dekalb School Of The Arts,Other,public,Avondale-Estates,"1192 Clarendon Ave, Avondale Estates, GA  30002",(678) 676-2502,(678) 676-2510,www.dsa.dekalb.k12.ga.us,http://www.greatschools.org/georgia/avondale-estates/6486-Dekalb-School-Of-The-Arts/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=6486&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=6486&s_cid=gsapi,76.947
33.709286,-84.21645,2590,Dekalb Transition School,Other,public,Decatur,"2670 Old Wesley Chapel Rd, Decatur, GA  30034",(678) 874-1002,(678) 874-1010,,http://www.greatschools.org/georgia/decatur/2590-Dekalb-Transition-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=2590&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=2590&s_cid=gsapi,90.9091
33.76244,-84.15305,3241,Eagle Woods Academy,Other,public,Lithonia,"5931 Shadow Rock Dr, Lithonia, GA  30058",(678) 676-8102,,,http://www.greatschools.org/georgia/lithonia/3241-Eagle-Woods-Academy/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=3241&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=3241&s_cid=gsapi,
33.798477,-84.198296,2748,East Dekalb Special Education Center,Other,public,Stone-Mountain,"5839 Memorial Dr, Stone Mountain, GA  30083",(678) 676-1890,(678) 676-1888,,http://www.greatschools.org/georgia/stone-mountain/2748-East-Dekalb-Special-Education-Center/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=2748&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=2748&s_cid=gsapi,21.0909
33.75495,-84.513725,103,Adamsville Elementary School,Elementary ,public,Atlanta,"286 Wilson Mill Rd Sw, Atlanta, GA  30331",(404) 802-4300,(404) 696-1661,http://www.apskids.org/adamsville/,http://www.greatschools.org/georgia/atlanta/103-Adamsville-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=103&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=103&s_cid=gsapi,95.2756
33.77947,-84.21238,722,Allgood Elementary School,Elementary ,public,Stone-Mountain,"659 Allgood Rd, Stone Mountain, GA  30083",(678) 676-5102,(678) 676-5110,,http://www.greatschools.org/georgia/stone-mountain/722-Allgood-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=722&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=722&s_cid=gsapi,85.8473
34.08197,-84.30179,987,Alpharetta Elementary School,Elementary ,public,Alpharetta,"192 Mayfield Rd, Alpharetta, GA  30004",(770) 740-7015,(770) 667-2840,,http://www.greatschools.org/georgia/alpharetta/987-Alpharetta-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=987&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=987&s_cid=gsapi,22.003
33.874336,-84.322014,778,Ashford Park Elementary School,Elementary ,public,Atlanta,"2968 Cravenridge Dr NE, Atlanta, GA  30319",(678) 676-6702,(678) 676-6710,http://www.dekalb.k12.ga.us/ashfordpark/,http://www.greatschools.org/georgia/atlanta/778-Ashford-Park-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=778&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=778&s_cid=gsapi,44.381
33.95984,-84.33577,699,Austin Elementary School,Elementary ,public,Dunwoody,"5435 Roberts Dr, Dunwoody, GA  30338",(678) 874-8102,(678) 874-8110,,http://www.greatschools.org/georgia/dunwoody/699-Austin-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=699&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=699&s_cid=gsapi,3.67534
33.77341,-84.261604,746,Avondale Elementary School,Elementary ,public,Avondale-Estates,"8 Lakeshore Dr, Avondale Estates, GA  30002",(678) 676-5202,(678) 676-5210,http://www.avondalees.dekalb.k12.ga.us/,http://www.greatschools.org/georgia/avondale-estates/746-Avondale-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=746&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=746&s_cid=gsapi,89.1892
34.010223,-84.24997,1022,Barnwell Elementary School,Elementary ,public,Johns-Creek,"9425 Barnwell Rd, Johns Creek, GA  30022",(770) 552-4960,(770) 643-3330,,http://www.greatschools.org/georgia/johns-creek/1022-Barnwell-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=1022&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=1022&s_cid=gsapi,10.7366
33.73572,-84.463264,94,Beecher Hills Elementary School,Elementary ,public,Atlanta,"2257 Bolling Brook Dr SW, Atlanta, GA  30311",(404) 802-8300,(404) 752-0828,http://www.apskids.org/beecherhills/,http://www.greatschools.org/georgia/atlanta/94-Beecher-Hills-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=94&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=94&s_cid=gsapi,79.2683
33.716476,-84.364746,66,Benteen Elementary School,Elementary ,public,Atlanta,"200 Cassanova St Se, Atlanta, GA  30315",(404) 802-7300,(404) 624-2013,http://www.atlanta.k12.ga.us/content/benteen.aspx,http://www.greatschools.org/georgia/atlanta/66-Benteen-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=66&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=66&s_cid=gsapi,98.3871
33.76059,-84.40333,115,Bethune Elementary School,Elementary ,public,Atlanta,"220 Northside Dr Nw, Atlanta, GA  30314",(404) 802-8200,(440) 330-4103,http://www.apskids.org/bethune/,http://www.greatschools.org/georgia/atlanta/115-Bethune-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=115&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=115&s_cid=gsapi,96.7552
33.59312,-84.48135,999,Bethune Elementary School,Elementary ,public,College-Park,"5925 Old Carriage Dr, College Park, GA  30349",(770) 991-7940,(770) 991-7945,,http://www.greatschools.org/georgia/college-park/999-Bethune-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=999&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=999&s_cid=gsapi,90
34.143627,-84.34288,6587,Birmingham Falls Elementary School,Elementary ,public,Milton,"14865 Birmingham Hwy, Milton, GA  30004",(770) 667-2820,,,http://www.greatschools.org/georgia/milton/6587-Birmingham-Falls-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=6587&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=6587&s_cid=gsapi,2.49653
33.68953,-84.2408,702,Bob Mathis Elementary School,Elementary ,public,Decatur,"3505 Boring Rd, Decatur, GA  30034",(678) 874-5802,(678) 874-5810,,http://www.greatschools.org/georgia/decatur/702-Bob-Mathis-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=702&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=702&s_cid=gsapi,83.4158
33.817245,-84.4548,3022,Bolton Academy,Elementary ,public,Atlanta,"2268 Adams Dr NW, Atlanta, GA  30318",(404) 802-8350,(404) 350-2853,http://www.boltonacademy.org/,http://www.greatschools.org/georgia/atlanta/3022-Bolton-Academy/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=3022&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=3022&s_cid=gsapi,77.4704
33.78596,-84.44921,32,Boyd Elementary School,Elementary ,public,Atlanta,"1891 Johnson Rd Nw, Atlanta, GA  30318",(404) 802-8150,(404) 792-5763,http://www.apskids.org/boyd/,http://www.greatschools.org/georgia/atlanta/32-Boyd-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=32&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=32&s_cid=gsapi,95.4315
33.83009,-84.41564,101,Brandon Elementary School,Elementary ,public,Atlanta,"2741 Howell Mill Rd NW, Atlanta, GA  30327",(404) 802-7250,(404) 350-2826,http://morrisbrandon.com/index.php,http://www.greatschools.org/georgia/atlanta/101-Brandon-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=101&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=101&s_cid=gsapi,13.8912
33.810112,-84.33814,760,Briar Vista Elementary School,Elementary ,public,Atlanta,"1131 Briar Vista Ter NE, Atlanta, GA  30324",(678) 874-5902,(678) 874-5910,http://www.briarvistaes.dekalb.k12.ga.us,http://www.greatschools.org/georgia/atlanta/760-Briar-Vista-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=760&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=760&s_cid=gsapi,59.6288
33.83935,-84.2693,777,Briarlake Elementary School,Elementary ,public,Decatur,"3590 Lavista Rd, Decatur, GA  30033",(678) 874-2502,(678) 874-2510,http://www.briarlakepta.org/,http://www.greatschools.org/georgia/decatur/777-Briarlake-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=777&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=777&s_cid=gsapi,26.5033
33.83709,-84.22173,713,Brockett Elementary School,Elementary ,public,Tucker,"1855 Brockett Rd, Tucker, GA  30084",(678) 874-2602,(678) 874-2610,,http://www.greatschools.org/georgia/tucker/713-Brockett-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=713&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=713&s_cid=gsapi,65.8933
33.64713,-84.49582,996,Brookview Elementary School,Elementary ,public,East-Point,"3250 Hammarskjold Dr, East Point, GA  30344",(404) 669-8020,(404) 669-8046,,http://www.greatschools.org/georgia/east-point/996-Brookview-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=996&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=996&s_cid=gsapi,97.1831
33.67646,-84.18916,803,Browns Mill Elementary School,Elementary ,public,Lithonia,"4863 Browns Mill Rd, Lithonia, GA  30038",(678) 676-8302,(678) 676-8310,,http://www.greatschools.org/georgia/lithonia/803-Browns-Mill-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=803&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=803&s_cid=gsapi,78.705
33.740574,-84.33158,3621,Burgess-Peterson Elementary School,Elementary ,public,Atlanta,"480 Clifton St SE, Atlanta, GA  30316",(404) 802-3400,(404) 371-4853,www.burgesspeterson.com,http://www.greatschools.org/georgia/atlanta/3621-Burgess-Peterson-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=3621&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=3621&s_cid=gsapi,79.5031
33.57234,-84.57525,997,Campbell Elementary School,Elementary ,public,Fairburn,"91 Elder St, Fairburn, GA  30213",(770) 969-3430,(770) 306-3522,,http://www.greatschools.org/georgia/fairburn/997-Campbell-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=997&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=997&s_cid=gsapi,89.875
33.7221,-84.220604,776,Canby Lane Elementary School,Elementary ,public,Decatur,"4150 Green Hawk Trl, Decatur, GA  30035",(678) 874-0602,(678) 874-0610,,http://www.greatschools.org/georgia/decatur/776-Canby-Lane-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=776&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=776&s_cid=gsapi,92.2969
33.89154,-84.27166,782,Cary Reynolds Elementary School,Elementary ,public,Doraville,"3498 Pine St, Doraville, GA  30340",(678) 676-6802,(678) 676-6810,,http://www.greatschools.org/georgia/doraville/782-Cary-Reynolds-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=782&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=782&s_cid=gsapi,96.4652
33.717175,-84.465454,78,Cascade Elementary School,Elementary ,public,Atlanta,"2326 Venetian Dr SW, Atlanta, GA  30311",(404) 802-8100,(404) 752-0798,http://www.apskids.org/cascade/,http://www.greatschools.org/georgia/atlanta/78-Cascade-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=78&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=78&s_cid=gsapi,93.0435
33.67915,-84.2169,712,Chapel Hill Elementary School,Elementary ,public,Decatur,"3536 Radcliffe Blvd, Decatur, GA  30034",(678) 676-8402,(678) 676-8410,,http://www.greatschools.org/georgia/decatur/712-Chapel-Hill-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=712&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=712&s_cid=gsapi,84.9829
33.927525,-84.29643,773,Chesnut Elementary School,Elementary ,charter,Dunwoody,"4576 N Peachtree Rd, Dunwoody, GA  30338",(678) 676-7102,(678) 676-7110,http://www.dekalb.k12.ga.us/chesnut/,http://www.greatschools.org/georgia/dunwoody/773-Chesnut-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=773&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=773&s_cid=gsapi,43.4879
33.78245,-84.29569,678,Clairemont Elementary School,Elementary ,public,Decatur,"155 Erie Ave, Decatur, GA  30030",(404) 370-4450,(404) 370-4453,http://www.clairemont.cityschoolsofdecatur.com/,http://www.greatschools.org/georgia/decatur/678-Clairemont-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=678&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=678&s_cid=gsapi,18.4375
33.682022,-84.39411,77,Cleveland Elementary School,Elementary ,public,Atlanta,"2672 Old Hapeville Rd., SW, Atlanta, GA  30315",(404) 802-8400,(404) 669-2725,http://www.atlanta.k12.ga.us/Domain/983,http://www.greatschools.org/georgia/atlanta/77-Cleveland-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=77&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=77&s_cid=gsapi,91.875
33.69634,-84.30174,744,Clifton Elementary School,Elementary ,public,Atlanta,"3132 Clifton Church Rd Se, Atlanta, GA  30316",(678) 874-4402,(678) 874-4410,,http://www.greatschools.org/georgia/atlanta/744-Clifton-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=744&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=744&s_cid=gsapi,89.899
33.657104,-84.617485,6580,Cliftondale Elementary School,Elementary ,public,College-Park,"3340 West Stubbs Rd, College Park, GA  30349",(404) 768-3600,,,http://www.greatschools.org/georgia/college-park/6580-Cliftondale-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=6580&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=6580&s_cid=gsapi,64.6081
34.10465,-84.28271,3629,Cogburn Woods Elementary School,Elementary ,public,Alpharetta,"13080 Cogburn Rd, Alpharetta, GA  30004",(770) 667-2845,(770) 667-2854,,http://www.greatschools.org/georgia/alpharetta/3629-Cogburn-Woods-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=3629&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=3629&s_cid=gsapi,12.6068
33.71999,-84.25846,711,Columbia Elementary School,Elementary ,public,Decatur,"3230 Columbia Woods Dr, Decatur, GA  30032",(678) 874-0702,(678) 874-0710,,http://www.greatschools.org/georgia/decatur/711-Columbia-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=711&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=711&s_cid=gsapi,93.3573
33.68511,-84.45713,978,Conley Hills Elementary School,Elementary ,public,East-Point,"2580 Delowe Dr, East Point, GA  30344",(404) 669-8170,(404) 669-8175,,http://www.greatschools.org/georgia/east-point/978-Conley-Hills-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=978&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=978&s_cid=gsapi,97.6987
33.7309,-84.440704,114,Connally Elementary School,Elementary ,public,Atlanta,"1654 S Alvarado Ter SW, Atlanta, GA  30311",(404) 802-8450,(404) 752-0807,http://www.apskids.org/connally/,http://www.greatschools.org/georgia/atlanta/114-Connally-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=114&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=114&s_cid=gsapi,94.4558
33.6788,-84.49219,91,Continental Colony Elementary School,Elementary ,public,Atlanta,"3181 Hogan Rd Sw, Atlanta, GA  30331",(404) 802-8000,(404) 346-2354,http://www.apskids.org/continentalcolony/,http://www.greatschools.org/georgia/atlanta/91-Continental-Colony-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=91&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=91&s_cid=gsapi,95.0617
34.093243,-84.33769,977,Crabapple Crossing Elementary School,Elementary ,public,Alpharetta,"12775 Birmingham Hwy, Alpharetta, GA  30004",(770) 740-7055,(770) 667-2841,,http://www.greatschools.org/georgia/alpharetta/977-Crabapple-Crossing-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=977&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=977&s_cid=gsapi,2.60274
34.074154,-84.24198,2595,Creek View Elementary School,Elementary ,public,Alpharetta,"3995 Webb Bridge Rd, Alpharetta, GA  30005",(770) 667-2932,(770) 667-2936,,http://www.greatschools.org/georgia/alpharetta/2595-Creek-View-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=2595&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=2595&s_cid=gsapi,15.3924
33.72784,-84.38234,69,D. H. Stanton Elementary School,Elementary ,public,Atlanta,"970 Martin St Se, Atlanta, GA  30315",(404) 802-4200,(404) 624-2166,http://www.apskids.org/dhstanton/,http://www.greatschools.org/georgia/atlanta/69-D.-H.-Stanton-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=69&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=69&s_cid=gsapi,96.3235
33.73471,-84.31775,715,Dekalb Elementary School Of The Arts,Elementary ,public,Atlanta,"797 Fayetteville Rd Se, Atlanta, GA  30316",(678) 874-1302,(678) 874-1302,http://www.dekalb.k12.ga.us/hooperalexander,http://www.greatschools.org/georgia/atlanta/715-Dekalb-Elementary-School-Of-The-Arts/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=715&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=715&s_cid=gsapi,71.1434
33.69798,-84.372444,90,Dobbs Elementary School,Elementary ,public,Atlanta,"2025 Jonesboro Rd Se, Atlanta, GA  30315",(404) 802-8050,(404) 624-2024,http://www.apskids.org/dobbs/,http://www.greatschools.org/georgia/atlanta/90-Dobbs-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=90&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=90&s_cid=gsapi,97.069
34.03611,-84.23363,981,Dolvin Elementary School,Elementary ,public,Alpharetta,"10495 Jones Bridge Rd, Alpharetta, GA  30022",(770) 740-7020,(770) 740-7025,,http://www.greatschools.org/georgia/alpharetta/981-Dolvin-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=981&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=981&s_cid=gsapi,12.4318
33.86898,-84.29236,710,Dresden Elementary School,Elementary ,public,Chamblee,"2449 Dresden Dr, Chamblee, GA  30341",(678) 676-7202,(678) 676-7210,,http://www.greatschools.org/georgia/chamblee/710-Dresden-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=710&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=710&s_cid=gsapi,98.6079
33.77957,-84.229294,775,Dunaire Elementary School,Elementary ,public,Stone-Mountain,"651 South Indian Creek Dr, Stone Mountain, GA  30083",(678) 676-5502,(678) 676-5510,,http://www.greatschools.org/georgia/stone-mountain/775-Dunaire-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=775&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=775&s_cid=gsapi,97.1857
33.741234,-84.40119,52,Dunbar Elementary School,Elementary ,public,Atlanta,"403 Richardson St Sw, Atlanta, GA  30312",(404) 802-7950,(404) 525-2778,http://www.apskids.org/dunbar/,http://www.greatschools.org/georgia/atlanta/52-Dunbar-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=52&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=52&s_cid=gsapi,94.5455
33.943478,-84.30886,6437,Dunwoody Elementary School,Elementary ,public,Dunwoody,"1923 Womack Rd, Dunwoody, GA  30338",(678) 875-4002,(678) 875-4010,http://www.dunwoodyes.dekalb.k12.ga.us/,http://www.greatschools.org/georgia/dunwoody/6437-Dunwoody-Elementary-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=6437&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=6437&s_cid=gsapi,11.2836
