apartment_name,latitude,longitude,place_id,zipcode,website,property_address,map_url,phone
Village of Devinshire Condos,34.0999838,-84.2648042,ChIJiQhCrwSe9YgRmI-9d1C2RHU,30004,,"3301 Deerfield Pkwy, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=8450079257576443800,(770) 475-7633
Camden Deerfield Apartments,34.104254,-84.266008,ChIJj63rRwGe9YgRexIL7p0z-sc,30004,https://www.camdenliving.com/alpharetta-ga-apartments/camden-deerfield,"13200 Summit Blvd, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=14409886711121908347,(770) 754-0700
Handy Trac,34.138053,-84.241764,ChIJmzETCLud9YgRpV7UrpYXw1U,30004,http://www.handytrac.com/,"510 Staghorn Ct, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=6179809049628139173,(678) 990-2305
IMT Deerfield,34.100915,-84.256342,ChIJqWc9Lwye9YgRO0WKgqnFz4k,30004,http://www.imtresidential.com/imtDeerfield,"13125 Morris Rd, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=9930373035205477691,(678) 367-0186
Northpark Estates,34.1027306,-84.2646901,ChIJT6MrBwSe9YgRpaSUcUUPMnk,30004,http://www.northparkwmp.com/,"13201 Deerfield Pkwy, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=8733059418357540005,(770) 752-6300
Stoneleigh at Deerfield Apartments,34.101888,-84.2490685,ChIJxYHazXSe9YgR2kuCeV_y9NE, ,http://www.thestoneleighatdeerfieldapartments.com/,"1800 Deerfield Point, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=15128983540118735834,(770) 569-2474
Gramercy Park | John Wieland Homes,34.0847537,-84.3226296,ChIJYcl2oEh09YgRMKVm6G6TRsA,30004,http://www.jwhomes.com/,"Gramercy Ln, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=13854923408206636336,(770) 619-4325
Village of Devinshire Condominiums,34.1000075,-84.2648168,ChIJyUc3fgOe9YgRrt5ZRQZZHbs,30004,,"13100 Deerfield Pkwy, Milton, GA 30004, USA",https://maps.google.com/?cid=13483030742885326510,(770) 777-0505
Cypress Point Apartment Homes,34.0726575,-84.2558241,ChIJ02Ft5jCe9YgRJ5fE48NS7Oo,30005,http://www.apartmentalpharettaga.com/,"3500 North Point Pkwy, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=16927996100672263975,(770) 783-3462
Waterstone At Big Creek Apartment Homes,34.108854,-84.226969,ChIJ1dczIqN19YgRN9ExB_Acbro,30005,http://www.waterstoneatbigcreek.com/,"50 Estuary Trail, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=13433706555731202359,(855) 373-7992
Belmont At Park Bridge,34.0629946,-84.2440586,ChIJ624uq0ye9YgRygLOfX1hA5M,30005,http://www.belmont-apts.com/,"150 Rockberry Ln, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=10593417940114997962,(770) 664-6502
Walton Bluegrass & The Legacy at Walton Bluegrass,34.107714,-84.216957,ChIJAexdECac9YgRBjcRbxHjtIA,30005,http://www.waltoncommunities.com/alpharetta-apartments/walton-bluegrass,"1625 Oak Farm Dr, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=9274287196680042246,(770) 740-2669
The Venue Big Creek Apartments,34.1106361,-84.2274357,ChIJERvQNiuc9YgRXw-LfVK4AVM,30005,https://www.thevenuebigcreek.com/,"50 Venue Way, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=5981264444557823839,(678) 339-0100
Alpharetta Corporate Apartments,34.104342,-84.265651,ChIJG_RqRwGe9YgRZNK7u15DvM0,30005,http://www.arcorporate.com/,"13000 Summit Blvd, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=14824798147552465508,(770) 614-2121
Alara Park Bridge,34.060109,-84.235174,ChIJI1VThayf9YgREuaUiC5rqV8,30005,http://www.alaraparkbridgeapts.com/,"15000 Parkview Ln, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=6893158552271382034,(770) 346-9600
Wood Bridge Apartments,34.065184,-84.239718,ChIJJQhWkU2e9YgRtqAUpuwEuTg,30005,http://www.woodbridgeaptsga.com/,"680 Park Bridge Pkwy, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=4087303551260598454,(770) 663-7787
Collingwood Apartments,34.0493098,-84.2617914,ChIJl9FLeNuf9YgRSeJsO4m_94o,30005,http://www.collingwoodram.com/,"3400 Kimball Bridge Rd, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=10013682892610003529,(770) 667-3211
Addison Place,34.0633668,-84.2088097,ChIJlRLzA-Ge9YgROEVJS7PLTKw,30005,http://www.addisonapts.com/,"5100 Abbotts Bridge Rd, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=12415522243676292408,(678) 393-2722
Windward Place Apartments,34.0902715,-84.23777,ChIJn_u0sGWe9YgRM_CJq8G0Zf0,30005,http://www.windwardplaceapartments.com/,"3080 Market Pl, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=18259199008143175731,(770) 751-0202
The Pointe at Preston Ridge,34.0691069,-84.2565654,ChIJP3rG1TOe9YgRXYbPy_mXHGs,30005,http://www.thepointeatprestonridge.com/,"950 Executive Dr, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=7718210960528213597,(855) 653-4309
Nurock Managements Co,34.0727135,-84.2602993,ChIJR1f1zC-e9YgR7XFU_WKzr1E,30005,http://www.nurock.com/,"3460 Preston Ridge Rd, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=5886120475734864365,(678) 297-3400
The Ascent at Windward,34.095567,-84.232877,ChIJv3TJgmSe9YgRvVViSuknj1k,30005,http://www.ascentwindward.com/,"18000 Masters Way, Alpharetta, GA 30005, USA",https://maps.google.com/?cid=6453420673974031805,(770) 752-4733
Parc Alpharetta Apartments,34.05056,-84.302784,ChIJ8c2PDBp19YgRdPy71TKzZ_A,30009,http://www.parcalpharetta.com/,"1000 Fanfare Way, Alpharetta, GA 30009, USA",https://maps.google.com/?cid=17323011522619505780,(866) 452-6020
Grande Oaks Apartments,34.0384521,-84.3359683,ChIJBWjd_rh09YgRxEnrNghGEMk,30009,http://www.bellapartmentliving.com/GA/Atlanta/Grande-Oaks,"100 Legacy Oaks Cir, Roswell, GA 30076, USA",https://maps.google.com/?cid=14488157002345957828,(770) 587-1008
Haven at Avalon,34.0715653,-84.2787301,ChIJC6O7koR19YgRiemIX9HRIUg,30009,http://www.havenatavalon.com/,"1213 Avalon Blvd, Alpharetta, GA 30009, USA",https://maps.google.com/?cid=5197666142143441289,(770) 285-8585
Manchester At Mansell Apartments,34.039754,-84.325905,ChIJdxVeq-md9YgRIWAFmhbb420,30009,http://www.manchesteratmansell.com/,"401 Huntington Dr, Roswell, GA 30076, USA",https://maps.google.com/?cid=7918413459967270945,(770) 587-5545
Aspen Pointe Apartments,34.0305227,-84.3204224,ChIJfbs8cNJ09YgRD7itvBWvRO4,30009,http://www.jamcoproperties.com/property/26/Aspen-Pointe-Apartments,"1300 Gran Crique Dr, Roswell, GA 30076, USA",https://maps.google.com/?cid=17169040187337848847,(888) 653-9489
Equity Residential,34.054129,-84.325337,ChIJH_Guou109YgRyFBvowRi5mc,30009,http://www.equityapartments.com/,"11251 Alpharetta Hwy, Roswell, GA 30076, USA",https://maps.google.com/?cid=7486779202611400904,(770) 442-3130
AMLI at Milton Park,34.0498018,-84.2799003,ChIJJSJfzGV19YgRrg7WKSIJDCQ,30009,http://www.amli.com/apartments/atlanta/North-Atlanta/Alpharetta/milton-park,"26000 Mill Creek Ave, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=2597461127421365934,(678) 436-3840
Saddle Creek Apartments,34.080957,-84.3183861,ChIJl3NnY0509YgRgLyC9kYBcbg,30009,,"1465 Mid Broadwell Rd # 5000, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=13290405379642145920,(770) 663-0054
Belcourt Apartments,34.0287232,-84.3138518,ChIJleYUZtV09YgRUWpcNn08mbM,30009,http://www.belcourtapts.com/,"2200 Belcourt Pkwy, Roswell, GA 30076, USA",https://maps.google.com/?cid=12941441512706435665,(866) 468-8552
Roswell Creek Apartments,34.0265777,-84.33304,ChIJLW0X3sl09YgRkgcpZGE0KzE,30009,http://www.myroswellcreek.com/,"1000 Holcomb Bridge Rd, Roswell, GA 30076, USA",https://maps.google.com/?cid=3542983124753909650,(770) 992-8000
The Crossings at Holcomb Bridge Apartments,34.0262879,-84.3288972,ChIJM0mLkst09YgREGddryPgnN0,30009,http://www.thecrossingsatholcombbridge.com/,"100 Creekside Way, Roswell, GA 30076, USA",https://maps.google.com/?cid=15968884822619547408,(855) 332-6890
Rosemont Apartments,34.058265,-84.326749,ChIJM6SapPF09YgR2rpKILS8re0,30009,http://rosemontapthomes.com/,"1900 Rosemont Pkwy, Roswell, GA 30076, USA",https://maps.google.com/?cid=17126552439781767898,(855) 646-0471
Oaks at Holcomb Bridge,34.026495,-84.3254381,ChIJMTHLfct09YgRfn6DcfSHP70,30009,http://www.oaksatholcombbridgeapts.com/,"700 Old Holcomb Bridge Rd, Roswell, GA 30076, USA",https://maps.google.com/?cid=13636767680647364222,(770) 284-1223
Riverwood Apartments,34.0236779,-84.333241,ChIJn-riP8109YgRxWtKzrpmvDE,30009,http://www.riverwood-apts.com/,"1045 Holcomb Bridge Rd, Roswell, GA 30076, USA",https://maps.google.com/?cid=3583852355991006149,(770) 998-1870
ALARA North Point Apartments,34.0445359,-84.2857385,ChIJozDXFmp19YgRLWYW9HVVxPU,30009,http://www.alaranorthpoint.com/,"900 Jameson Pass, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=17709373599822276141,(770) 772-3031
Wood Creek at Roswell,34.0255056,-84.3269209,ChIJq-enVcp09YgRkwiM3M36MDQ,30009,http://www.gscapts.com/apartments/roswell_ga/zip_30076/gsc/4525/,"600 Old Holcomb Bridge Rd, Roswell, GA 30076, USA",https://maps.google.com/?cid=3760781450929768595,(888) 913-5956
Webb Bridge Crossing,34.0751264,-84.2785334,ChIJqy3ke4V19YgRJsLbTVG6xfE,30009,http://www.webbbridgecrossingapts.com/,"5000 Webb Bridge Ct, Alpharetta, GA 30009, USA",https://maps.google.com/?cid=17421535591913996838,(855) 814-7534
AMLI North Point,34.036344,-84.309469,ChIJu8rplSZ19YgRp_yii3fhMJo,30009,http://www.amli.com/apartments/atlanta/North-Atlanta/Alpharetta/north-point,"9000 Beaver Creek Rd, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=11110628184283085991,(678) 971-2316
The Lex- Alpharetta,34.078576,-84.315252,ChIJuS4zmk109YgR3kB_eZ-ym2c,30009,http://www.thelexapts.com/,"1000 Lexington Farm Dr, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=7465757205304656094,(678) 554-4578
Gables Residential,34.0200503,-84.331501,ChIJYZAGCDUL9YgRejrgxEBW_SA,30009,http://gables.com/,"100 Hemingway Ln, Roswell, GA 30075, USA",https://maps.google.com/?cid=2377151014502414970,(770) 640-1686
Roswell Village Apartments,34.0200503,-84.331501,ChIJYZAGCDUL9YgRJ2IyA4Yh8OA,30009,http://www.liveatroswellvillage.com/,"100 Hemingway Ln, Roswell, GA 30075, USA",https://maps.google.com/?cid=16208491918369382951,(770) 518-8300
AMLI at Northwinds,34.0633594,-84.285294,ChIJzWCCU5519YgR2cPQTK56te0,30009,http://www.amli.com/apartments/atlanta/North-Atlanta/Alpharetta/northwinds,"32000 Gardner Dr, Alpharetta, GA 30009, USA",https://maps.google.com/?cid=17128731646805197785,(888) 479-2936
Navarro Apartments,33.7962297,-84.2437532,ChIJ245QrLSp9YgR4weyIAYOZ64,30021,http://www.navarroapts.com/,"3525 Indian Creek Way, Clarkston, GA 30021, USA",https://maps.google.com/?cid=12567028704681789411,(404) 296-4808
Springdale Glen Apartments,33.822374,-84.2324131,ChIJ5-AHvGCo9YgRV8ObJqm_e60,30021,http://www.springdaleglen.com/,"3800 Brockett Trail, Clarkston, GA 30021, USA",https://maps.google.com/?cid=12500795923915064151,(678) 554-4577
English Oaks,33.8153142,-84.2346524,ChIJafeYIVyo9YgRozwmlML3ZE4,30021,http://rjamesproperties.com/properties/english-oaks/,"4133 Church St, Clarkston, GA 30021, USA",https://maps.google.com/?cid=5648912247710694563,(404) 299-2234
Avalon on Montreal- Clarkston,33.8152503,-84.2454193,ChIJCRcfHkGo9YgRjUQ7FrXZiY8,30021,http://www.avalononmontreal.com/,"1086 Montreal Rd, Clarkston, GA 30021, USA",https://maps.google.com/?cid=10343037391018345613,(404) 296-8516
1500 Oak Apartments,33.822298,-84.231156,ChIJcTTgrGOo9YgR31qyG8hBk7M,30021,http://www.1500oak.com/,"1500 Post Oak Dr, Clarkston, GA 30021, USA",https://maps.google.com/?cid=12939758482079505119,(678) 554-4542
Silver Oak Apartments,33.820386,-84.2307692,ChIJFekbDIqo9YgRvu8uChNGn-A,30021,http://www.silveroakgeorgia.com/,"1281 Brockett Rd, Clarkston, GA 30021, USA",https://maps.google.com/?cid=16185732633382023102,(770) 284-3148
The Lakes at Indian Creek,33.7984676,-84.2333149,ChIJG3D-QVOo9YgRJcXHXTfFmMc,30021,http://www.rentcafe.com/apartments/ga/clarkston/lakes-at-indian-creek-apartments/index.aspx,"751 N Indian Creek Dr, Clarkston, GA 30021, USA",https://maps.google.com/?cid=14382462251594925349,(404) 296-6442
Kristopher Woods Apartments,33.7996343,-84.2425478,ChIJGbRm-Eyo9YgRyQcdKJa5f4A,30021,,"792 Jolly Ave S, Clarkston, GA 30021, USA",https://maps.google.com/?cid=9259323413466253257,(404) 296-2371
Clarkston Oaks Apartments,33.798707,-84.247186,ChIJh0vgdEuo9YgR7BFDw5-drwY,30021,http://rjamesproperties.com/properties/clarkston-oaks/,"767 Northern Ave, Clarkston, GA 30021, USA",https://maps.google.com/?cid=481776994653245932,(404) 294-1488
Woodside Village Apartments,33.7980731,-84.230504,ChIJk3pfBFWo9YgR8CjpnqL0Jns,30021,http://www.woodsidevillage-apts.com/,"3954 Memorial College Ave, Clarkston, GA 30021, USA",https://maps.google.com/?cid=8874049095068100848,(404) 292-8596
Indian Valley,33.7968233,-84.2444089,ChIJK5uMUkuo9YgRIGWro3TJh78,30021,http://adaraliving.com/,"3536 Indian Creek Way, Clarkston, GA 30021, USA",https://maps.google.com/?cid=13801221085899482400,(404) 296-9330
Reserve At Twin Oaks,33.8152211,-84.2482544,ChIJLZv5mkCo9YgRY7EvmFPoS8I,30021,http://www.reserveattwinoaksapts.com/,"1108 Montreal Rd E, Clarkston, GA 30021, USA",https://maps.google.com/?cid=14000539312344510819,(404) 436-2550
Clarkston Station Apartments,33.8151258,-84.242679,ChIJn48fS0Ko9YgRHy01615SIbI,30021,http://www.clarkstonstationapts.com/,"3629 Montreal Creek Cir, Clarkston, GA 30021, USA",https://maps.google.com/?cid=12835630980609158431,(404) 508-3118
Highland Village Apartments,33.8044098,-84.2491969,ChIJQWHiKjao9YgR5xBigaQlE0c,30021,,"3890 E Ponce de Leon Ave, Clarkston, GA 30021, USA",https://maps.google.com/?cid=5121478589725937895,(404) 448-1906
Birch Run Estates,33.8191717,-84.2378693,ChIJQwol72eo9YgRtFX2_nxi7Ho,30021,http://www.birchrunapts.com/,"1204 Brockett Rd, Clarkston, GA 30021, USA",https://maps.google.com/?cid=8857562856123946420,(404) 299-3565
Tuscany Village Apartments,33.7934296,-84.2469294,ChIJrRraVLSp9YgRHbgd9w9AcnE,30021,http://www.tuscanyvillageapartments.net/,"600 Northern Ave, Clarkston, GA 30021, USA",https://maps.google.com/?cid=8174666710945478685,(404) 585-4424
Sage Pointe Apartments,33.8201655,-84.2272536,ChIJRZ6AvIqo9YgRRuaMWUxbeuc,30021,,"4650 E Ponce de Leon Ave, Clarkston, GA 30021, USA",https://maps.google.com/?cid=16679744553398101574,(770) 558-6140
Wildcreek Apartments,33.8184018,-84.2376385,ChIJT6uHsEKo9YgRGBAibzsZ8RA,30021,http://www.wildcreekapartmenthomes.com/,"100 Wild Cir, Clarkston, GA 30021, USA",https://maps.google.com/?cid=1220784717052383256,(404) 857-2288
Carriage Oaks Apartments,33.8152484,-84.2362432,ChIJYf0f_1yo9YgRNLYDnxPNTzg,30021,http://www.nelkinrealestate.com/carriageoaks1-2.php,"4366 E Ponce de Leon Ave, Clarkston, GA 30021, USA",https://maps.google.com/?cid=4057687273439999540,(404) 508-9433
Clarkston Townhomes,33.8100856,-84.2451179,ChIJYy3nY0ao9YgRVUwmYft5JdM,30021,http://rjamesproperties.com/properties/clarkston-townhomes/,"3519 W Hill St, Clarkston, GA 30021, USA",https://maps.google.com/?cid=15214701036714740821,(404) 296-4125
St Andrews Apartments,34.027611,-84.250439,ChIJ6ZTOM42f9YgRsb1LLugBOdI,30022,http://www.standrewsapartmenthomes.com/,"10055 Jones Bridge Rd, Johns Creek, GA 30022, USA",https://maps.google.com/?cid=15148140918358130097,(770) 663-7566
Nesbit Palisades,33.986239,-84.271561,ChIJ9wg-Lp0K9YgR3UjyvXkv2Zc,30022,http://www.liveatnesbitpalisades.com/,"8520 S Holcomb Bridge Way, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=10941828969597651165,(855) 349-3580
Champions Green Apartments,34.001014,-84.280404,ChIJaSd81aIK9YgRUPKCIA3c-Z4,30022,http://venterraliving.com/championsgreen/rent_pricing_availability?id=CHGGGM006,"1001 Champions Green Pkwy, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=11455429076131705424,(678) 534-7168
Seven Pines Apartments & Townhomes,33.9929512,-84.2772934,ChIJDQvdMZoK9YgRJR2_0n-ndPo,30022,http://www.sevenpinesapts.com/,"2845 Holcomb Bridge Rd, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=18047233774218845477,(770) 992-4978
Holcomb's Pond Apartments,33.993997,-84.280531,ChIJl5kh4JkK9YgRIJqvMzE8tdA,30022,http://www.holcombspondapartments.com/,"2745 Holcomb Bridge Rd, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=15038992712691849760,(770) 574-6850
Ashley Forest Apartments,34.0044152,-84.2785736,ChIJM-NpkKQK9YgRitxPRigE7J8,30022,http://www.ashleyforestapts.com/,"9230 Nesbit Ferry Rd, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=11523590117559098506,(770) 642-4897
Nesbit Ferry Crossing Apartments,34.0018818,-84.2781524,ChIJq4rR_aIK9YgR7ZOonDyX1fE,30022,http://www.bellapartmentliving.com/ga/alpharetta/nesbit-ferry-crossing/,"100 Saratoga Dr, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=17426000619762127853,(678) 585-0094
North Haven at Johns Creek,34.0512413,-84.2260577,ChIJF3h_2Aef9YgRjdBZ-3VdMRI,30023,http://www.northhavenatjohnscreek.com/,"11201 State Bridge Rd, Johns Creek, GA 30022, USA",https://maps.google.com/?cid=1310931727851049101,(678) 366-9865
Duck Pond at Johns Creek,34.0432641,-84.2215128,ChIJfcG7ewyf9YgRWLlGv8dgGhQ,30023,http://www.duckpondatjohnscreek.com/,"10840 State Bridge Rd, Johns Creek, GA 30022, USA",https://maps.google.com/?cid=1448576641176877400,(770) 619-9099
ARIUM Johns Creek Apartments,34.017375,-84.195845,ChIJj8l0hVef9YgRFtYLUehRjls,30023,http://ariumjohnscreek.com/luxury-apartments/johns-creek/ga,"9700 Medlock Crossing Pkwy, Alpharetta, GA 30022, USA",https://maps.google.com/?cid=6597300562378348054,(770) 824-3063
The Reserve at John's Creek Walk,34.0504051,-84.1777876,ChIJsU6yStCY9YgRglIiWB7wqFI,30023,http://reserveatjohnscreek.com/,"11055 Bell Rd, Duluth, GA 30097, USA",https://maps.google.com/?cid=5956274520315810434,(678) 475-3550
Avery Glen Apartments,33.7707991,-84.290784,ChIJ90P-WT8H9YgRsybiTyvFDbE,30030,http://www.rampartnersllc.com/,"339 E College Ave, Decatur, GA 30030, USA",https://maps.google.com/?cid=12758070109224969907,(404) 687-8100
Allen Wilson Apartments,33.7723618,-84.2990036,ChIJaSVEYDwH9YgRDTCZj0SY0Es,30030,,"1450 Commerce Dr, Decatur, GA 30030, USA",https://maps.google.com/?cid=5463033768234790925,(404) 687-8358
Atlantic Star Ice House Lofts,33.7731364,-84.2888365,ChIJaz-L8EAH9YgRKa93kzN4DEA,30030,http://bradenfellman.com/apartments/icehouse/,"105 Sycamore Pl, Decatur, GA 30030, USA",https://maps.google.com/?cid=4615195881060675369,(404) 377-5251
Avondale Station Apartments,33.774829,-84.2754673,ChIJbYcgZl4H9YgRp1yW-gPbt88,30030,http://www.avondalestationapts.com/,"703 Twin Oaks Dr, Decatur, GA 30030, USA",https://maps.google.com/?cid=14967672696724675751,(404) 373-1643
Spring Pointe Apartments,33.7570533,-84.3056075,ChIJC7SajiwH9YgR28YZid8i96U,30030,http://www.springpointeapartments.org/,"1301 Oakview Rd, Decatur, GA 30030, USA",https://maps.google.com/?cid=11959065678978860763,(404) 687-9385
Derrydown Quads & Houses,33.771882,-84.280462,ChIJex7Z0lwH9YgRIOb4yKt-6mg,30030,http://rjamesproperties.com/properties/derrydown-quads-houses/,"784 Derrydown Way, Decatur, GA 30030, USA",https://maps.google.com/?cid=7559994200771061280,(404) 377-7087
North Decatur Garden Apartments,33.7884223,-84.2892493,ChIJG8CqkHIH9YgRQVNiKQP_6Bg,30030,http://www.northdecaturgardens.com/,"1400 Church St, Decatur, GA 30030, USA",https://maps.google.com/?cid=1794964840551437121,(404) 377-7353
Alexan 1133 Apartments,33.7774227,-84.2980768,ChIJIckZFRYH9YgRag7I20JEdB4,30030,http://alexan1133.com/,"1133 Commerce Dr, Decatur, GA 30030, USA",https://maps.google.com/?cid=2194453972382125674,(404) 371-6999
Philips Tower,33.7727457,-84.2943282,ChIJKWUK5T4H9YgRT4lBNtHWsmI,30030,http://www.philipstower.org/,"218 E Trinity Pl # A, Decatur, GA 30030, USA",https://maps.google.com/?cid=7111982955618208079,(404) 373-4361
Amberidge Apartments,33.786709,-84.300568,ChIJL3ZaEhAH9YgRDqzD_R30RcU,30030,http://www.amberidge.info/,"1031 Scott Blvd, Decatur, GA 30030, USA",https://maps.google.com/?cid=14215036208513526798,(404) 797-3815
Adair Oaks Apartments,33.7697075,-84.3073154,ChIJM7MKJiQH9YgRJsNBMBAdXJ4,30030,http://www.visionpropertiesinc.com/apartments.htm#AdairAnchor,"212 Adair St A3, Decatur, GA 30030, USA",https://maps.google.com/?cid=11411027511216292646,(404) 373-4368
Jackson Square Apartments,33.789869,-84.275128,ChIJPyqrZHwH9YgRMXW7VWl0aL0,30030,http://www.liveatjacksonsquare.com/,"455 Dekalb Industrial Way, Decatur, GA 30030, USA",https://maps.google.com/?cid=13648286666505024817,(404) 294-0400
Park Trace Apartments,33.7717699,-84.3026096,ChIJqcnaWiMH9YgRF8KU9N5rTsM,30030,,"700 Atlanta Ave, Decatur, GA 30030, USA",https://maps.google.com/?cid=14073304490909680151,(404) 371-0887
The Place on Ponce Apartments,33.7760731,-84.3000549,ChIJU7sSQT0H9YgRX1ZdbHHEr2o,30030,http://www.theplaceonponce.com/,"220 Ponce De Leon Pl, Decatur, GA 30030, USA",https://maps.google.com/?cid=7687579080373130847,(404) 496-6075
Decatur Crossing,33.780052,-84.2775904,ChIJUy3mYWYH9YgRhCY91RbAGUU,30030,http://www.decaturcrossingapartments.com/,"100 Grayson Pl, Decatur, GA 30030, USA",https://maps.google.com/?cid=4979222067334162052,(404) 298-1991
Pines on Scott Apartments,33.785657,-84.302538,ChIJx0uVjRoH9YgRDT2q_bhZIQM,30030,http://rjamesproperties.com/properties/the-pines-on-scott/,"927 Scott Blvd, Decatur, GA 30030, USA",https://maps.google.com/?cid=225560107409882381,(404) 377-8188
The Clarion Apartments,33.7849372,-84.2776545,ChIJx2ue4mQH9YgRoVRZKa48-Tw,30030,http://www.theclarionapts.com/,"10 Rimington Ln, Decatur, GA 30030, USA",https://maps.google.com/?cid=4393609630192325793,(404) 508-9360
Decatur Christian Towers,33.7897963,-84.2883954,ChIJy4_bVXIH9YgRgUhCVS2N2PM,30030,http://www.christiantowers.com/,"1438 Church St, Decatur, GA 30030, USA",https://maps.google.com/?cid=17570949172029442177,(404) 377-5507
Candler East Apartments,33.7192,-84.276354,ChIJ4yH9sIQA9YgRjYxitSZ5DTg,30032,http://www.candlereast.com/,"2425 Candler Rd, Decatur, GA 30032, USA",https://maps.google.com/?cid=4039017647980055693,(404) 288-2365
Kenridge Apartment Homes,33.7658993,-84.236791,ChIJ6-VLQ5qp9YgRqLd_dXWUUoU,30032,http://harvest-properties.com/property/kenridge-apartments/,"3893 Kensington Rd, Decatur, GA 30032, USA",https://maps.google.com/?cid=9606904187338078120,(404) 296-5096
Windrush Apartments,33.768112,-84.237286,ChIJ6YhRHpqp9YgRZaheguNZqvc,30032,http://www.windrushaptsdecatur.com/,"3841 Kensington Rd, Decatur, GA 30032, USA",https://maps.google.com/?cid=17846175307088701541,(404) 296-1613
Spring Valley Apartments- Atlanta,33.7183465,-84.2721496,ChIJ9W_q5IIA9YgRGXl7SzmYAKo,30032,http://www.springvalleyatlanta.com/,"2823 Misty Waters Dr, Decatur, GA 30032, USA",https://maps.google.com/?cid=12249958358294690073,(404) 288-6620
